//, Screen Size 640, 480, Bottom corner 565 405, Middle 283 203
//,Intro
left,25,25,1,.9
right,100,100,5,1
left,175,175,9,1
both,250,250,13,1
left,400,50,16.25,1
left,350,50,17.25,.5
left,300,50,18.25,.5
left,250,50,19.25,.5
both,300,205,20.25,1
both,300,205,22.25,1
right,100,400,24.25,1
right,150,400,25.25,.5
right,200,400,26.25,.5
right,250,400,27.25,.5
both,300,205,28.25,1
both,300,205,30.25,1
//, Bass comes in
left,383,400,31.75,.75
left,383,400,33.25,.75
right,383,10,33.75,.5
right,183,10,35.75,.75
right,183,10,37.25,.75
left,183,400,37.75,.5
both,283,203,38.75,1
right,383,10,39.75,.75
right,383,10,41.25,.75
left,383,400,41.75,.5
left,183,400,43.75,.75
left,183,400,45.25,.75
right,183,10,45.75,.5
both,283,203,46.75,1
//,Piano enters
both,150,203,48.25,.65
left,10,10,50.75,.5
left,100,100,51.25,.5
left,200,200,51.75,.5
both,400,203,52.25,.65
right,550,10,54.75,.5
right,450,100,55.25,.5
right,350,200,55.75,.5
both,150,203,56.25,.65
left,10,400,58.75,.5
left,100,300,59.25,.5
left,200,200,59.75,.5
both,400,203,60.25,.65
right,550,400,62.75,.5
right,450,300,63.25,.5
right,350,200,63.75,.5
both,150,203,64.25,.65
left,10,10,66.75,.5
left,100,100,67.25,.5
left,200,200,67.75,.5
both,400,203,68.25,.65
right,550,10,70.75,.5
right,450,100,71.25,.5
right,350,200,71.75,.5
both,150,203,72.25,.65
left,10,400,74.75,.5
left,100,300,75.25,.5
left,200,200,75.75,.5
both,400,203,76.25,.65
right,550,400,78.75,.5
right,450,300,79.25,.5
right,350,200,79.75,.5
//, Drum break
left,10,203,80,.65
right,60,203,80.25,.5
left,110,203,81,.65
right,160,203,81.25,.5
left,210,203,81.75,.65
right,260,203,82.25,.5
left,310,203,83,.65
both,360,203,83.25,.35
both,390,203,83.5,.35
left,410,203,83.75,.35
right,460,203,84.25,.5
left,510,203,85,.65
right,560,203,85.75,.5
left,510,203,86.25,.65
right,460,203,86.75,.5
left,410,203,87,.5
both,360,203,87.5,.5
//, Piano Break
left,10,10,87.75,.75
right,560,10,88.75,.75
both,560,400,89.75,.75
right,10,400,90.75,.75
left,10,10,91.75,.75
both,560,10,92.75,.75
left,560,400,93.75,.75
right,10,400,94.75,.75
both,560,400,95.75,.75
right,560,10,96.75,.75
left,10,10,97.75,.75
both,10,400,98.75,.75
left,560,400,99.75,.75
right,560,10,100.75,.75
both,10,10,101.57,.75
right,10,460,102.75.75
//,Increase drums
left,10,10,103.75,.75
both,283,10,104.25,.75
left,560,10,104.75,.75
right,560,203,105.25,.75
both,560,400,105.75,.75
right,283,400,106.25,.75
left,10,400,106.75,.75
both,10,203,107.25,.75
left,10,10,107.75,.75
right,283,10,108.25,.75
both,560,10,108.75,.75
right,560,203,109.25,.75
left,560,400,109.75,.75
both,283,400,110.25,.75
left,10,400,110.75,.75
right,10,203,111.25,.75
//, reverse
both,10,400,111.75,.75
right,283,400,112.25,.75
left,560,400,112.75,.75
both,560,203,113.25,.75
left,560,10,113.75,.75
right,283,10,114.25,.75
both,10,10,114.75,.75
right,10,203,115.25,.75
left,10,400,115.75,.75
both,283,400,116.25,.75
left,560,400,116.75,.75
right,560,203,117.25,.75
both,560,10,117.75,.75
right,283,10,118.25,.75
left,10,10,118.75,.75
both,10,203,119.25,.75
//,Pre Chorus
both,283,203,119.75,.75
//, Chorus
left,100,100,121.75,.65
right,100,200,122.75,.65
left,100,300,123.75,.65
both,283,203,124.75,.65
left,200,100,125.75,.65
right,200,200,126.75,.65
left,200,300,127.75,.65
both,283,203,128.75,.65
left,300,100,129.75,.65
right,300,200,130.75,.65
left,300,300,131.75,.65
both,283,203,132.75,.65
left,400,100,133.75,.65
right,400,200,134.75,.65
left,400,300,135.75,.65
both,283,203,136.75,.65
left,100,100,137.75,.65
right,100,200,138.75,.65
left,100,300,139.75,.65
both,283,203,140.75,.65
left,200,100,141.75,.65
right,200,200,142.75,.65
left,200,300,143.75,.65
both,283,203,144.75,.65
left,300,100,145.75,.65
right,300,200,146.75,.65
left,300,300,147.75,.65
both,283,203,148.75,.65
left,400,100,149.75,.65
right,400,200,150.75,.65
left,400,300,151.75,.65
both,283,203,152.75,.65
left,100,100,153.75,.65
right,100,200,154.75,.65
left,100,300,155.75,.65
both,283,203,156.75,.65
left,200,100,157.75,.65
right,200,200,158.75,.65
left,200,300,159.75,.65
both,283,203,160.75,.65
left,300,100,161.75,.65
right,300,200,162.75,.65
left,300,300,163.75,.65
both,283,203,164.75,.65
left,400,100,165.75,.65
right,400,200,166.75,.65
left,400,300,167.75,.65
both,283,203,168.75,.65
//,bass break
right,183,303,169.75,.65
left,383,103,170.25,.65
both,283,203,170.75,.65
left,183,103,171.75,.65
right,383,303,172.25,.65
both,283,203,172.75,.65
right,183,303,173.75,.65
left,383,103,174.25,.65
both,283,203,174.75,.65
left,183,103,175.75,.65
right,383,303,176.25,.65
both,283,203,176.75,.65
right,183,303,177.75,.65
left,383,103,178.25,.65
both,283,203,178.75,.65
left,183,103,179.75,.65
right,383,303,180.25,.65
both,283,203,180.75,.65
right,183,303,181.75,.65
left,383,103,182.25,.65
both,283,203,182.75,.65
left,183,103,183.75,.65
right,383,303,184.25,.65
both,283,203,184.75,.65
//, Piano returns
both,150,203,186.25,.65
left,10,10,188.75,.5
left,100,100,189.25,.5
left,200,200,189.75,.5
both,400,203,190.25,.65
right,550,10,192.75,.5
right,450,100,193.25,.5
right,350,200,193.75,.5
both,150,203,194.25,.65
left,10,400,196.75,.5
left,100,300,197.25,.5
left,200,200,197.75,.5
both,400,203,198.25,.65
right,550,400,200.75,.5
right,450,300,201.25,.5
right,350,200,201.75,.5
//, Bass returns
left,383,400,202.75,.75
left,383,400,203.25,.75
right,383,10,203.75,.5
right,183,10,205.75,.75
right,183,10,207.25,.75
left,183,400,207.75,.5
both,283,203,208.75,1
right,383,10,209.75,.75
//, End
left,10,10,211.75,.75
right,560,400,213.75,.75
left,10,400,215.75,.75
right,560,10,217.75,.75
both,283,203,219.75,.75
left,560,10,221.75,.75
right,10,400,223.75,.75
both,283,203,225.75,.75
