8,8,8,8,8,8,8,8,-1,8,8,8,8,8,8,8,
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
8,9,9,9,9,9,9,9,9,9,9,9,10,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,
8,10,-1,-1,4,9,9,6,9,9,9,9,9,9,9,8,
8,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,8,
8,9,9,9,10,-1,-1,6,-1,-1,-1,5,7,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,6,-1,-1,5,6,6,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,6,-1,4,6,6,6,-1,-1,8,
8,-1,-1,-1,-1,-1,5,6,-1,-1,6,6,6,-1,-1,8,
8,-1,-1,4,6,6,6,6,10,-1,6,6,6,-1,-1,8,
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,6,6,-1,-1,-1,
8,-1,-1,-1,-1,-1,-1,-1,-1,5,6,6,6,-1,-1,-1,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,

