15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,-1,-1,1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,15,
15,16,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,16,16,16,-1,16,16,16,16,-1,-1,16,16,16,16,-1,-1,-1,16,16,4,-1,-1,4,
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,15,
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,16,-1,-1,-1,16,16,16,16,-1,-1,16,16,16,16,-1,-1,-1,-1,-1,4,-1,-1,4,
4,-1,-1,-1,-1,-1,-1,-1,16,16,16,16,-1,-1,16,16,16,16,16,16,15,-1,-1,15,
15,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,
4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,15,
15,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,
4,16,16,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,15,-1,-1,15,
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,4,-1,-1,4,
4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-1,15,-1,-1,15,
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,
1,-1,-1,16,16,16,-1,16,16,16,-1,16,16,-1,16,16,-1,-1,16,16,4,-1,-1,4,
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,15,
15,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,
1,16,16,-1,-1,16,-1,-1,-1,16,-1,-1,-1,16,-1,-1,-1,16,-1,-1,-1,-1,-1,4,
4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,4,1,15,


