-1,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,8,-1,
-1,10,10,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,10,-1,
-1,-1,-1,-1,-1,-1,-1,-1,8,7,9,8,8,-1,-1,-1,-1,-1,-1,-1,-1,7,9,-1,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,9,-1,
-1,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,-1,8,8,-1,
-1,10,10,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,10,7,-1,10,10,-1,
-1,8,9,-1,-1,-1,-1,-1,8,7,9,-1,-1,7,9,8,-1,-1,9,8,-1,7,9,-1,
-1,7,9,-1,-1,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,-1,-1,9,-1,
-1,8,8,-1,-1,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,-1,8,8,-1,
-1,10,10,-1,-1,10,10,-1,-1,-1,10,7,9,10,-1,-1,-1,-1,-1,-1,-1,10,10,-1,
-1,7,9,-1,-1,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,-1,7,9,-1,
-1,7,9,-1,-1,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,-1,7,-1,-1,
-1,8,8,-1,-1,-1,-1,7,9,-1,8,7,9,8,-1,-1,-1,8,8,7,-1,8,8,-1,
-1,10,10,-1,-1,-1,-1,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,7,-1,10,10,-1,
-1,7,9,-1,-1,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,-1,7,9,-1,
-1,7,9,-1,-1,7,9,10,10,7,9,10,10,7,9,10,10,7,9,10,-1,7,9,-1,
-1,8,8,-1,-1,8,8,-1,-1,-1,-1,7,9,8,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,
-1,10,10,-1,-1,10,10,7,9,10,10,7,9,10,10,7,9,10,10,7,-1,10,10,-1,
-1,7,9,-1,-1,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,-1,7,9,-1,
-1,7,9,-1,-1,-1,-1,-1,-1,7,9,10,10,-1,-1,10,10,7,9,10,-1,7,9,-1,
-1,8,8,-1,-1,8,8,7,9,8,8,7,9,8,8,7,9,8,8,7,9,8,8,-1,
-1,10,10,-1,-1,10,10,7,9,10,10,7,9,10,10,7,9,-1,10,7,9,10,10,-1,
-1,11,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
